City,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,albany,75,US,1569280847,78,42.65,-73.75,297.59,1.5
1,tuktoyaktuk,90,CA,1569281024,86,69.44,-133.03,277.15,2.6
2,kaitangata,100,NZ,1569281024,63,-46.28,169.85,282.04,4.92
3,hithadhoo,100,MV,1569281396,79,-0.6,73.08,300.4,5.93
4,bambous virieux,75,MU,1569281396,83,-20.34,57.76,294.15,7.2
5,pisco,0,PE,1569281395,30,-13.71,-76.2,295.15,6.2
6,sao gabriel da cachoeira,75,BR,1569281396,93,-0.13,-67.09,296.1,1.69
7,biaora,98,IN,1569281397,94,23.92,76.91,296.0,3.52
8,bredasdorp,0,ZA,1569281383,87,-34.53,20.04,282.04,2.1
9,chadan,41,RU,1569281397,79,51.29,91.58,282.8,1.91
10,kiruna,20,SE,1569281397,92,67.86,20.23,268.15,2.1
11,saint-pierre,0,FR,1569281397,82,48.95,4.24,289.15,4.6
12,punta arenas,75,CL,1569281398,81,-53.16,-70.91,283.15,9.3
13,busselton,33,AU,1569281399,68,-33.64,115.35,282.04,7.77
14,mataura,100,NZ,1569281392,93,-46.19,168.86,280.37,2.68
15,mar del plata,34,AR,1569281399,52,-46.43,-67.52,287.1,7.4
16,klaksvik,100,FO,1569281114,100,62.23,-6.59,284.15,7.7
17,isabela,0,PH,1569281399,80,10.2,122.99,300.2,2.61
18,laplace,1,US,1569281400,45,30.07,-90.48,303.71,3.1
19,russell,1,US,1569281400,32,38.9,-98.86,303.15,5.7
20,upernavik,100,GL,1569281401,93,72.79,-56.15,276.0,2.86
21,bethel,40,US,1569281401,70,60.79,-161.76,281.15,6.2
22,hovd,0,NO,1569281401,93,63.83,10.7,284.26,4.6
23,carnarvon,17,ZA,1569281404,41,-30.97,22.13,281.4,6.32
24,lasa,0,CY,1569281407,82,34.92,32.53,295.15,3.6
25,yellowknife,75,CA,1569281409,61,62.45,-114.38,282.15,7.7
26,roebourne,96,AU,1569281409,39,-20.77,117.15,294.0,8.7
27,daru,85,PG,1569281409,65,-9.07,143.21,300.1,4.83
28,auki,7,NG,1569281410,55,12.18,6.51,298.1,3.13
29,iqaluit,75,CA,1569281410,80,63.75,-68.52,276.15,2.6
30,pirgos,0,GR,1569281410,68,35.12,25.72,293.71,3.6
31,vaini,100,IN,1569281412,92,15.34,74.49,296.0,0.56
32,acapulco,75,MX,1569281413,74,16.86,-99.88,303.15,1.56
33,atuona,0,PF,1569281414,79,-9.8,-139.03,299.5,7.71
34,chicama,75,PE,1569281414,82,-7.84,-79.15,290.15,3.1
35,georgetown,75,GY,1569281415,78,6.8,-58.16,302.15,2.1
36,portland,75,US,1569281369,73,43.66,-70.25,298.15,3.1
37,lodja,12,CD,1569281415,80,-3.52,23.6,295.9,0.33
38,saint-philippe,90,CA,1569281416,94,45.36,-73.48,294.26,1.5
39,kastamonu,32,TR,1569281416,77,41.38,33.78,280.6,0.26
40,barrow,0,AR,1569281416,71,-38.31,-60.23,287.4,4.23
41,talnakh,75,RU,1569281417,86,69.49,88.39,276.15,9.0
42,hilo,40,US,1569281417,58,19.71,-155.08,304.15,6.7
43,stirling,75,GB,1569281417,93,56.12,-3.94,286.48,3.6
44,shimoda,75,JP,1569281418,83,34.7,138.93,299.82,7.7
45,virginia beach,40,US,1569281169,61,36.85,-75.98,301.15,4.1
46,codrington,40,AU,1569281419,60,-28.95,153.24,294.15,1.5
47,ossora,100,RU,1569281419,82,59.24,163.07,281.3,2.83
48,alyangula,0,AU,1569281419,69,-13.85,136.42,299.15,3.6
49,jamestown,0,AU,1569281420,53,-33.21,138.6,286.3,0.8
50,tiksi,97,RU,1569281420,91,71.64,128.87,274.7,0.39
